# ra dec Gmag rv rvErr parallax ntransits
 90.54516743 -66.72101662  13.38094400  89.19941606  11.53027139   0.25945530         133
 90.80835716 -66.78004801  14.06254300  99.95852230  17.09255224   0.07694037         171
311.27937893  28.61032617  13.49515200  26.93126370  19.72054046   0.75999988          22
313.64909291  29.91938100  13.08962000   8.15927952  19.14528794   1.37730891          29
274.73149707 -68.14639585  12.55327400 -19.31521034  17.55791880   1.09188640          39
270.27908218 -67.68169779  12.95242500   5.34497105  19.11512661   1.42710558          27
 65.09502257  57.39396600  12.96911100 -29.28472000  16.34046959   0.76869592          29
 60.77831761 -22.33290816  13.19565200  32.59416340  18.45669814   0.40400229          30
  8.88742232  -0.50587894   5.81312270  11.80189196  19.07362027  17.26431859          28
277.69755845 -68.29237655  13.01359500  24.84205368  18.64914101   2.35922126          46
280.46352366 -68.18475376  12.21805000  44.08597991  15.78595813   0.52845453          42
172.95917262 -13.32321883  12.57799400 103.34220854  19.19349795   1.21233804          21
250.79552854 -21.23363531  11.77806900  -7.71517066  18.79772408   1.55940680          23
 83.68541712 -20.81070389  13.21389200  43.59592708  16.31161229   1.19202411          31
154.14273673 -36.81360265  12.29598200   8.49038425  18.28179059   2.10702286          34
153.02794948 -36.69139639  13.71217300  -0.91626784  18.07746137   6.94525341          34
153.12881520 -36.67674357  11.98876800  17.47813685  13.19082993   2.61374716          45
135.79260487 -25.58380725  13.70325400  79.02360010  18.70415663   2.38345875          23
251.51993754  63.95602110  12.45498700 -10.23101047  19.75106815   1.45806657          29
256.06972373  64.77951791  12.66054100 -25.91056000  18.71329917   1.18053051          39
102.52455213 -21.90741770  13.20228100  48.55622471  16.68337087   1.62189508          38
 98.98551173 -21.83740412  11.48522400  71.39282070  18.61396526   3.68471060          42
250.09684549 -61.68281085  12.12963300 -16.02195103  17.24218204   0.91269517          30
